Percentage,a-index,ForwardBR,PageRank,ICOOK,h-index,k-core,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CDAG
0.01,0,0.444444444,0.444444444,0.444444444,0.222222222,0.111111111,0.222222222,0.222222222,0.222222222,0.333333333,0.222222222,0.444444444
0.02,0,0.555555556,0.555555556,0.444444444,0.444444444,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444,0.333333333,0.555555556
0.03,0,0.666666667,0.666666667,0.777777778,0.555555556,0.111111111,0.444444444,0.444444444,0.444444444,0.444444444,0.666666667,0.666666667
0.04,0,0.777777778,0.777777778,0.888888889,0.555555556,0.111111111,0.555555556,0.555555556,0.666666667,0.666666667,0.666666667,0.777777778
0.05,0,0.777777778,0.777777778,0.888888889,0.666666667,0.666666667,0.555555556,0.666666667,0.777777778,0.666666667,0.777777778,0.777777778
0.06,0,0.777777778,0.777777778,0.888888889,0.666666667,0.666666667,0.777777778,0.777777778,0.777777778,0.777777778,0.888888889,0.888888889
0.07,0,0.888888889,0.888888889,0.888888889,0.888888889,0.666666667,0.777777778,0.777777778,0.777777778,0.777777778,1,0.888888889
0.08,0,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.777777778,0.777777778,0.888888889,0.777777778,1,1
0.09,0,1,1,1,1,0.888888889,0.777777778,0.777777778,0.888888889,0.777777778,1,1
0.1,0,1,1,1,1,0.888888889,0.777777778,0.777777778,0.888888889,0.777777778,1,1
0.11,0,1,1,1,1,1,0.777777778,0.777777778,1,0.777777778,1,1
0.12,0,1,1,1,1,1,0.777777778,0.777777778,1,0.777777778,1,1
0.13,0,1,1,1,1,1,0.777777778,0.777777778,1,0.888888889,1,1
0.14,0,1,1,1,1,1,0.777777778,0.777777778,1,0.888888889,1,1
0.15,0,1,1,1,1,1,0.777777778,0.888888889,1,0.888888889,1,1
